Codigo,Acopio,Productosxbulto
FRE11011,#N/D,1
ALM20004,#N/D,1
ALM20005,ALM080,1
HIP50001,#N/D,1
HIP50002,LIM054,1
HIP50003,LIM055,1
CAN01005,#N/D,1
CAN03002,#N/D,1
ALM36007,#N/D,1
ALM36008,#N/D,1
LIM16001,LIM048,1
ALM29004,#N/D,1
ALM20008,ALM084,1
ALM49004,#N/D,1
ALM49003,#N/D,1
ALM49002,#N/D,1
ALM24006,#N/D,1
LIM17001,#N/D,1
LIM03002,#N/D,1
HIP03003,#N/D,1
ALM36005,#N/D,1
FYV02003,FYV,1
ALM36002,#N/D,1
ALM36001,#N/D,1
ALM10003,#N/D,1
ALM25017,FRA103,1
HIP03005,LIM086,1
HIP03006,LIM087,1
ALM14017,#N/D,1
FRE04005,#N/D,1
FRE04006,#N/D,1
FRE04010,#N/D,1
FRE06002,#N/D,1
FRE06004,#N/D,1
FRE06006,#N/D,1
FRE06009,#N/D,1
CAN03005,LIM073,1
ALM60009,FRA120,1
ALM60008,FRA119,1
ALM60011,FRA,1
ALM60010,FRA,1
ALM60012,FRA121,1
ALM60013,FRA122,1
FRE14003,FRE054,1
FRE14004,FRE050,1
ALM49018,FRA091,1
HIP50004,LIM056,1
ALM37006,ALM088,1
ALM60001,ALM205,1
ALM60002,ALM206,1
ALM60003,ALM207,1
ALM60004,ALM208,1
ALM60005,#N/D,1
ALM60006,ALM209,1
ALM60007,ALM211,1
FRE06012,FRE013,1
FRE06010,FRZ001,30
ALM06014,ALM068,1
ALM06013,ALM067,1
ALM06015,ALM069,1
ALM49010,FRA059,1
ALM49011,FRA060,1
ALM49012,FRA061,1
ALM49014,FRA062,1
ALM49015,FRA063,1
ALM49016,FRA064,1
ALM49017,FRA065,1
FRE10011,#N/D,1
FRE10012,FRE001,1
FRE10013,FRE007,1
FRE10014,#N/D,1
FRE10015,#N/D,1
FRE10016,FRE008,1
CAN02007,FRE038,1
CAN02008,FRZ026,1
CAN02009,FRZ027,1
CAN02010,FRE039,1
ALM24030,FRA036,1
ALM24031,#N/D,1
ALM04000,#N/D,1
FRE06011,#N/D,1
FRE06016,#N/D,1
HIP50005,LIM057,1
FRE04030,FRE033,1
FRE04015,FRZ017,1
FRE04016,#N/D,1
FRE04017,FRZ018,1
FRE04018,FRZ025,1
FRE04019,FRZ019,1
ALM26010,FRA070,1
ALM25101,ALM180,1
ALM25102,ALM181,1
ALM25103,ALM182,1
ALM25104,ALM183,1
ALM13002,ALM102,1
HIP07003,LIM035,1
TIE00001,TIE,1
TIE00002,TIE,1
TIE00003,TIE,1
TIE00004,TIE,1
TIE00005,TIE,1
TIE00007,TIE,1
ALM20018,#N/D,1
ALM25019,#N/D,1
FYV02022,FYV,1
FYV02023,FYV,1
ALM25030,FRA069,18
ALM04010,#N/D,1
ALM26011,FRA071,1
